2024-06-27 17:25:12,940 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_full_size_cropping",
    "fusion": false,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "rgb2"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "rgb2": "OMNIVORE"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_rgb2_MIX_DAA_1_20240627_015626.pth",
    "learning_rate": 0.0001,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-27 17:25:13,176 - INFO - Applying Augmentations
2024-06-27 17:25:13,183 - INFO - Applying Augmentations
2024-06-27 17:25:13,190 - INFO - Applying Augmentations
2024-06-27 17:25:13,190 - INFO - Training classifiers...
2024-06-27 17:25:13,268 - INFO - Training on the following GPUs [0]
2024-06-27 17:25:18,101 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-27 18:55:20,195 - INFO - Epoch 7, Val rgb2 - Loss: 0.0255, Accuracy: 0.8152, Balanced Accuracy: 0.7279
2024-06-27 18:55:28,281 - INFO - Epoch 8, Train rgb - Loss: 0.0025, Accuracy: 0.9827, Balanced Accuracy: 0.9827
2024-06-27 18:55:28,429 - INFO - Epoch 8, Train rgb2 - Loss: 0.0015, Accuracy: 0.9864, Balanced Accuracy: 0.9864
2024-06-27 18:55:28,796 - INFO - Epoch 8, Val rgb - Loss: 0.0268, Accuracy: 0.7596, Balanced Accuracy: 0.6366
2024-06-27 18:55:28,800 - INFO - Epoch 8, Val rgb2 - Loss: 0.0260, Accuracy: 0.8152, Balanced Accuracy: 0.7276
2024-06-27 18:55:37,079 - INFO - Epoch 9, Train rgb - Loss: 0.0023, Accuracy: 0.9840, Balanced Accuracy: 0.9840
2024-06-27 18:55:37,215 - INFO - Epoch 9, Train rgb2 - Loss: 0.0014, Accuracy: 0.9869, Balanced Accuracy: 0.9869
2024-06-27 18:55:37,549 - INFO - Epoch 9, Val rgb - Loss: 0.0268, Accuracy: 0.7596, Balanced Accuracy: 0.6336
2024-06-27 18:55:37,552 - INFO - Epoch 9, Val rgb2 - Loss: 0.0265, Accuracy: 0.8152, Balanced Accuracy: 0.7278
2024-06-27 18:55:45,831 - INFO - Epoch 10, Train rgb - Loss: 0.0022, Accuracy: 0.9851, Balanced Accuracy: 0.9851
2024-06-27 18:55:45,915 - INFO - Epoch 10, Train rgb2 - Loss: 0.0013, Accuracy: 0.9875, Balanced Accuracy: 0.9875
2024-06-27 18:55:46,108 - INFO - Epoch 10, Val rgb - Loss: 0.0268, Accuracy: 0.7625, Balanced Accuracy: 0.6257
2024-06-27 18:55:46,111 - INFO - Epoch 10, Val rgb2 - Loss: 0.0269, Accuracy: 0.8152, Balanced Accuracy: 0.7229
2024-06-27 18:55:54,516 - INFO - Epoch 11, Train rgb - Loss: 0.0020, Accuracy: 0.9858, Balanced Accuracy: 0.9858
2024-06-27 18:55:54,587 - INFO - Epoch 11, Train rgb2 - Loss: 0.0013, Accuracy: 0.9880, Balanced Accuracy: 0.9880
