2024-06-25 11:59:43,998 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_full_size_cropping",
    "fusion": false,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "ir"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "ir": "OMNIVORE"
    },
    "dataset": "DAA",
    "split": "0",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_ir_MIX_DAA_0_20240624_205121.pth",
    "learning_rate": 0.0001,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-25 11:59:44,153 - INFO - Applying Augmentations
2024-06-25 11:59:44,158 - INFO - Applying Augmentations
2024-06-25 11:59:44,164 - INFO - Applying Augmentations
2024-06-25 11:59:44,165 - INFO - Training classifiers...
2024-06-25 11:59:44,212 - INFO - Training on the following GPUs [0]
2024-06-25 11:59:46,351 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-25 13:08:11,411 - INFO - Epoch 8, Val rgb - Loss: 0.0289, Accuracy: 0.6958, Balanced Accuracy: 0.6285
2024-06-25 13:08:11,414 - INFO - Epoch 8, Val ir - Loss: 0.0300, Accuracy: 0.7909, Balanced Accuracy: 0.6575
2024-06-25 13:08:15,874 - INFO - Epoch 9, Train rgb - Loss: 0.0043, Accuracy: 0.9681, Balanced Accuracy: 0.9681
2024-06-25 13:08:15,922 - INFO - Epoch 9, Train ir - Loss: 0.0019, Accuracy: 0.9829, Balanced Accuracy: 0.9829
2024-06-25 13:08:16,053 - INFO - Epoch 9, Val rgb - Loss: 0.0289, Accuracy: 0.6972, Balanced Accuracy: 0.6284
2024-06-25 13:08:16,056 - INFO - Epoch 9, Val ir - Loss: 0.0306, Accuracy: 0.7937, Balanced Accuracy: 0.6584
2024-06-25 13:08:20,025 - INFO - Epoch 10, Train rgb - Loss: 0.0040, Accuracy: 0.9698, Balanced Accuracy: 0.9698
2024-06-25 13:08:20,107 - INFO - Epoch 10, Train ir - Loss: 0.0018, Accuracy: 0.9835, Balanced Accuracy: 0.9835
2024-06-25 13:08:20,255 - INFO - Epoch 10, Val rgb - Loss: 0.0290, Accuracy: 0.6965, Balanced Accuracy: 0.6283
2024-06-25 13:08:20,258 - INFO - Epoch 10, Val ir - Loss: 0.0311, Accuracy: 0.7965, Balanced Accuracy: 0.6741
2024-06-25 13:08:25,023 - INFO - Epoch 11, Train rgb - Loss: 0.0038, Accuracy: 0.9712, Balanced Accuracy: 0.9712
2024-06-25 13:08:25,073 - INFO - Epoch 11, Train ir - Loss: 0.0018, Accuracy: 0.9840, Balanced Accuracy: 0.9840
