2024-06-30 23:54:58,209 - INFO - Configuration:
{
    "task": "2",
    "topic": "ft_balanced_best_mix_fusion",
    "fusion": true,
    "feature_save_dir": "",
    "number_gpus": "1",
    "modalities": [
        "rgb",
        "ir",
        "depth",
        "skeleton"
    ],
    "encoder_model": "MIX",
    "modalities_encoders": {
        "rgb": "CLIP-VIP",
        "ir": "OMNIVORE",
        "depth": "OMNIVORE",
        "skeleton": "CLIP-VIP"
    },
    "dataset": "DAA",
    "split": "1",
    "num_classes": 34,
    "in_features": 512,
    "full_train_classifiers": false,
    "epochs": 500,
    "res_cktp": false,
    "mixed_frames": false,
    "augs": true,
    "cktp_dir": "/home/bas06400/Thesis/VIP/src/align_checkpoints",
    "aligned_model": "checkpoint_rgb_ir_depth_skeleton_MIX_DAA_1_20240629_004303.pth",
    "learning_rate": 1e-05,
    "temperature": 0.1,
    "num_workers": 10,
    "data_list": "/home/bas06400/Thesis/rgb_ir_dataset.txt",
    "data_root": "/net/polaris/storage/deeplearning/ntu",
    "batch_size": 32,
    "random_sample": false,
    "pin_memory": true,
    "clip_config": "openai/clip-vit-base-patch16",
    "clip_weights": "openai/clip-vit-base-patch16",
    "clip_vision_additional_config": {
        "type": "ViP",
        "temporal_size": 12,
        "if_use_temporal_embed": true,
        "logit_scale_init_value": 4.6,
        "add_cls_num": 3
    },
    "e2e_weights_path": "/home/bas06400/Thesis/pretrain_clipvip_base_16.pt"
}
2024-06-30 23:54:58,376 - INFO - Applying Augmentations
2024-06-30 23:54:58,380 - INFO - Applying Augmentations
2024-06-30 23:54:58,385 - INFO - Applying Augmentations
2024-06-30 23:54:58,386 - INFO - Training classifiers...
2024-06-30 23:54:58,437 - INFO - Training on the following GPUs [0]
2024-06-30 23:55:00,504 - INFO - Using depth mode summed_rgb_d_tokens
2024-06-30 23:55:02,005 - INFO - Using depth mode summed_rgb_d_tokens
2024-07-01 01:59:11,628 - INFO - Epoch 16, Train - all - Loss: 0.0303, Accuracy: 0.9927, Balanced Accuracy: 0.9927
2024-07-01 01:59:11,710 - INFO - Epoch 16, Val - all - Loss: 1.0928, Accuracy: 0.8116, Balanced Accuracy: 0.6473
2024-07-01 01:59:25,957 - INFO - Epoch 17, Train - all - Loss: 0.0283, Accuracy: 0.9930, Balanced Accuracy: 0.9930
2024-07-01 01:59:26,009 - INFO - Epoch 17, Val - all - Loss: 1.1040, Accuracy: 0.8130, Balanced Accuracy: 0.6499
2024-07-01 01:59:37,708 - INFO - Epoch 18, Train - all - Loss: 0.0264, Accuracy: 0.9934, Balanced Accuracy: 0.9934
2024-07-01 01:59:37,793 - INFO - Epoch 18, Val - all - Loss: 1.1126, Accuracy: 0.8137, Balanced Accuracy: 0.6558
2024-07-01 01:59:48,386 - INFO - Epoch 19, Train - all - Loss: 0.0240, Accuracy: 0.9940, Balanced Accuracy: 0.9940
2024-07-01 01:59:48,437 - INFO - Epoch 19, Val - all - Loss: 1.1293, Accuracy: 0.8137, Balanced Accuracy: 0.6561
2024-07-01 02:00:00,078 - INFO - Epoch 20, Train - all - Loss: 0.0229, Accuracy: 0.9945, Balanced Accuracy: 0.9945
2024-07-01 02:00:00,155 - INFO - Epoch 20, Val - all - Loss: 1.1388, Accuracy: 0.8159, Balanced Accuracy: 0.6495
2024-07-01 02:00:17,037 - INFO - Epoch 21, Train - all - Loss: 0.0224, Accuracy: 0.9945, Balanced Accuracy: 0.9945
2024-07-01 02:00:17,120 - INFO - Epoch 21, Val - all - Loss: 1.1448, Accuracy: 0.8144, Balanced Accuracy: 0.6489
2024-07-01 02:00:35,977 - INFO - Epoch 22, Train - all - Loss: 0.0208, Accuracy: 0.9953, Balanced Accuracy: 0.9953
2024-07-01 02:00:36,059 - INFO - Epoch 22, Val - all - Loss: 1.1596, Accuracy: 0.8195, Balanced Accuracy: 0.6522
2024-07-01 02:00:53,590 - INFO - Epoch 23, Train - all - Loss: 0.0189, Accuracy: 0.9955, Balanced Accuracy: 0.9955
2024-07-01 02:00:53,651 - INFO - Epoch 23, Val - all - Loss: 1.1743, Accuracy: 0.8209, Balanced Accuracy: 0.6516
2024-07-01 02:01:10,040 - INFO - Epoch 24, Train - all - Loss: 0.0215, Accuracy: 0.9949, Balanced Accuracy: 0.9949
2024-07-01 02:01:10,112 - INFO - Epoch 24, Val - all - Loss: 1.1833, Accuracy: 0.8195, Balanced Accuracy: 0.6511
2024-07-01 02:01:27,463 - INFO - Epoch 25, Train - all - Loss: 0.0172, Accuracy: 0.9956, Balanced Accuracy: 0.9956
2024-07-01 02:01:27,544 - INFO - Epoch 25, Val - all - Loss: 1.2002, Accuracy: 0.8202, Balanced Accuracy: 0.6501
2024-07-01 02:01:44,781 - INFO - Epoch 26, Train - all - Loss: 0.0160, Accuracy: 0.9962, Balanced Accuracy: 0.9962
